name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
lyon,France,,,15.0,,15.0,15.0,13.0,13.0,11.0,12.0,,,,,,,,,12.0,,12.0,10.0,,8.95,
monaco,France,,,13.0,,13.0,10.0,11.0,10.0,11.0,7.0,,,,,,,,,7.0,,7.0,17.0,,9.15,
marseille,France,,,23.0,,23.0,29.0,26.0,34.0,21.0,26.0,,,,,,,,,26.0,,26.0,23.0,,13.1,
bordeaux,France,,,101.0,,101.0,101.0,151.0,176.0,101.0,151.0,,,,,,,,,151.0,,151.0,151.0,,45.0,
st etienne,France,,,101.0,,101.0,101.0,101.0,176.0,101.0,101.0,,,51.0,,,,,,101.0,,101.0,101.0,,45.0,
lille,France,,,251.0,,251.0,201.0,501.0,201.0,201.0,251.0,,,,,,,,,251.0,,251.0,201.0,,45.0,
montpellier,France,,,251.0,,251.0,251.0,501.0,301.0,251.0,351.0,,,,,,,,,351.0,,351.0,251.0,,45.0,
lorient,France,,,501.0,,501.0,501.0,751.0,501.0,501.0,501.0,,,,,,,,,501.0,,501.0,701.0,,45.0,
nantes,France,,,501.0,,501.0,501.0,501.0,501.0,501.0,801.0,,,,,,,,,801.0,,801.0,501.0,,45.0,
nice,France,,,501.0,,501.0,501.0,1001.0,501.0,501.0,801.0,,,,,,,,,801.0,,801.0,501.0,,45.0,
rennes,France,,,401.0,,401.0,301.0,1001.0,501.0,401.0,501.0,,,,,,,,,501.0,,501.0,301.0,,45.0,
toulouse,France,,,751.0,,751.0,751.0,1001.0,501.0,751.0,801.0,,,,,,,,,801.0,,801.0,701.0,,45.0,
caen,France,,,751.0,,751.0,1001.0,751.0,501.0,1001.0,1301.0,,,,,,,,,1301.0,,1301.0,1001.0,,45.0,
guingamp,France,,,501.0,,501.0,751.0,1501.0,501.0,751.0,1051.0,,,,,,,,,1051.0,,1051.0,1001.0,,45.0,
reims,France,,,1001.0,,1001.0,751.0,1001.0,751.0,1001.0,1501.0,,,,,,,,,1501.0,,1501.0,1001.0,,45.0,
troyes,France,,,1001.0,,1001.0,1001.0,1501.0,751.0,1001.0,1601.0,,,,,,,,,1601.0,,1601.0,1001.0,,45.0,
bastia,France,,,751.0,,751.0,751.0,751.0,501.0,1001.0,2001.0,,,,,,,,,2001.0,,2001.0,1001.0,,45.0,
ajaccio,France,,,,,,,,,,,,,,,,,,,,,,2001.0,,45.0,
angers,France,,,1001.0,,1001.0,1001.0,2001.0,1001.0,2501.0,1301.0,,,,,,,,,1301.0,,1301.0,,,45.0,
gfco ajaccio,France,,,1001.0,,1001.0,1501.0,2001.0,1001.0,2501.0,2751.0,,,,,,,,,2751.0,,2751.0,,,,
