name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
bastia,France,4501.0,,,,,,,501.0,,,,,,,,,,,,,,5001.0,,95.0,,
toulouse,France,4501.0,,,,,,,1001.0,,,,,,,,,,,,,,5001.0,,95.0,,
troyes,France,4501.0,,,,,,,1001.0,,,,,,,,,,,,,,5001.0,,95.0,,
napoli,Italy,2.5,2.38,,2.5,,2.4,2.38,2.5,2.5,2.45,,2.5,2.5,,2.37,2.5,,,2.45,2.4,2.45,2.45,,2.56,,
juventus,Italy,2.5,2.5,,2.38,,2.38,2.25,2.5,2.5,2.5,,2.5,2.4,,2.5,2.4,,,2.5,2.6,2.5,2.45,,2.58,,
inter,Italy,5.0,5.0,,5.0,,5.0,5.5,5.0,4.5,5.0,,5.5,4.33,,4.33,5.0,,,5.0,4.75,5.0,5.2,,4.51,,
roma,Italy,17.0,11.0,,13.0,,13.0,15.0,13.0,11.0,14.0,,17.0,15.0,,11.0,17.0,,,14.0,17.0,14.0,17.5,,16.7,,
fiorentina,Italy,26.0,26.0,,26.0,,21.0,21.0,26.0,21.0,26.0,,17.0,26.0,,21.0,21.0,,,26.0,26.0,26.0,27.0,,26.0,,
ac milan,Italy,151.0,101.0,,126.0,,251.0,101.0,101.0,101.0,151.0,,151.0,101.0,,201.0,151.0,,,151.0,126.0,151.0,156.0,,95.0,,
lazio,Italy,501.0,,,,,501.0,,251.0,501.0,501.0,,,,,501.0,501.0,,,501.0,,501.0,501.0,,18.6,,
