name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Dundee Utd,Scotland,,,,,,,,401.0,,,,,,,,,,,,66.0,143.0,76.0
St Johnstone,Scotland,,,,,,,,,,,,,,,,,,,,134.0,200.0,169.0
Hibernian,Scotland,,,,,,,,,,,,,,,,,,,,140.0,228.0,177.0
Hearts,Scotland,,,,,,,,,,,,,,,,,,,,550.0,950.0,747.0
Kilmarnock,Scotland,,,,,,,,,,,,,,,,,,,,550.0,950.0,747.0
Partick,Scotland,,,,,,,,,,,,,,,,,,,,550.0,950.0,747.0
Ross County,Scotland,,,,,,,,,,,,,,,,,,,,550.0,950.0,747.0
St Mirren,Scotland,,,,,,,,,,,,,,,,,,,,550.0,950.0,747.0
Ajax,Holland,,,,,,,1.44,1.5,,,,,,,,,,,,,1.51,
Vitesse,Holland,,,,,,,5.0,4.5,,,,,,,,,,,,,4.42,
Twente,Holland,,,,,,,6.0,7.0,,,,,,,,,,,,,5.75,
Feyenoord,Holland,,,,,,,7.0,9.0,,,,,,,,,,,,,10.5,
PSV Eindhoven,Holland,,,,,,,41.0,41.0,,,,,,,,,,,,,25.0,
Heerenveen,Holland,,,,,,,101.0,101.0,,,,,,,,,,,,,105.0,
Groningen,Holland,,,,,,,126.0,,,,,,,,,,,,,,152.0,
AZ Alkmaar,Holland,,,,,,,151.0,151.0,,,,,,,,,,,,,124.0,
Utrecht,Holland,,,,,,,501.0,,,,,,,,,,,,,,209.0,
Cambuur,Holland,,,,,,,,,,,,,,,,,,,,,608.0,
Den Haag,Holland,,,,,,,,,,,,,,,,,,,,,608.0,
Go Ahead Eagles,Holland,,,,,,,,,,,,,,,,,,,,,608.0,
Heracles,Holland,,,,,,,,,,,,,,,,,,,,,608.0,
NAC Breda,Holland,,,,,,,,,,,,,,,,,,,,,608.0,
NEC Nijmegen,Holland,,,,,,,,,,,,,,,,,,,,,608.0,
Roda,Holland,,,,,,,,,,,,,,,,,,,,,608.0,
Waalwijk,Holland,,,,,,,,,,,,,,,,,,,,,608.0,
Zwolle,Holland,,,,,,,,,,,,,,,,,,,,,608.0,
Benfica,Portugal,1.83,1.8,,1.83,,,,1.83,,,,,1.83,,,,,,,,1.61,
Porto,Portugal,2.88,4.0,,2.75,,,,3.1,,,,,2.75,,,,,,,,3.38,
Sporting Lisbon,Portugal,5.0,3.75,,5.0,,,,4.0,,,,,5.0,,,,,,,,3.28,
Gil Vicente,Portugal,,,,,,,,,,,,,,,,,,,,,48.0,
Academica,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,
Arouca,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,
Belenenses,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,
Maritimo,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,
Nacional,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,
Olhanense,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,
Rio Ave,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,
Vitoria Setubal,Portugal,,,,,,,,,,,,,,,,,,,,,105.0,
Pacos Ferreira,Portugal,,,,,,,,,,,,,,,,,,,,,114.0,
Estoril,Portugal,,,,,,,,,,,,,,,,,,,,,152.0,
Guimaraes,Portugal,,,,,,,,,,,,,,,,,,,,,171.0,
Braga,Portugal,,,,,,,,,,,,,,,,,,,,,209.0,
Fenerbahce,Turkey,,,,,,,,1.2,,,,,,,,,,,,,1.1,
Galatasaray,Turkey,,,,,,,,4.0,,,,,,,,,,,,,1.97,
Besiktas,Turkey,,,,,,,,41.0,,,,,,,,,,,,,2.95,
Kasimpasa,Turkey,,,,,,,,81.0,,,,,,,,,,,,,3.38,
Sivasspor,Turkey,,,,,,,,,,,,,,,,,,,,,3.38,
Akhisar,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Antalyaspor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Bursaspor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Elazigspor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Erciyesspor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Eskisehirspor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Gaziantepspor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Genclerbirligi,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Karabukspor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Kayserispor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Konyaspor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
Rizespor,Turkey,,,,,,,,,,,,,,,,,,,,,32.0,
