name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
monaco,France,34.0,41.0,,34.0,,41.0,34.0,26.0,41.0,41.0,34.0,,41.0,34.0,,34.0,41.0,,34.0,41.0,34.0,41.0,9.55,8.37,
st etienne,France,151.0,101.0,,126.0,,101.0,67.0,91.0,101.0,151.0,101.0,,151.0,101.0,,101.0,151.0,,101.0,151.0,51.0,151.0,9.36,8.57,
bordeaux,France,501.0,,,,,,,376.0,,251.0,501.0,,,,,,,,,251.0,,251.0,22.0,29.0,
montpellier,France,1001.0,,,,,,1001.0,401.0,,,751.0,,,,,,,,,,,,9.36,8.57,
metz,France,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,,,
caen,France,1001.0,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,9.36,8.76,
toulouse,France,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,,,
lille,France,2001.0,,,,,,,1001.0,,,,,,,,,,,,,,,9.36,8.57,
rennes,France,2501.0,,,,,,2501.0,1001.0,,,,,,,,,,,,,,,9.36,8.76,
bastia,France,5001.0,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,9.36,8.76,
guingamp,France,5001.0,,,,,,2001.0,1001.0,,,,,,,,,,,,,,,9.36,8.76,
nantes,France,5001.0,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,9.36,8.57,
nice,France,7501.0,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,9.36,8.76,
lorient,France,10001.0,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,9.36,8.57,
reims,France,10001.0,,,,,,2001.0,1001.0,,,,,,,,,,,,,,,9.36,8.76,
lens,France,,,,,,,10001.0,1001.0,,,,,,,,,,,,,,,,,
evian,France,12501.0,,,,,,10001.0,1001.0,,,,,,,,,,,,,,,9.36,8.76,
juventus,Italy,,1.01,,,,1.01,1.02,1.01,1.01,,,,,1.01,,1.02,,,1.01,,,,,,
roma,Italy,,21.0,,,,19.0,17.0,41.0,19.0,,,,,21.0,,29.0,,,21.0,,,,105.0,116.0,
napoli,Italy,,,,,,,,101.0,101.0,,,,,101.0,,101.0,,,101.0,,,,124.0,161.0,
lazio,Italy,,,,,,,,67.0,,,,,,67.0,,101.0,,,67.0,,,,143.0,180.0,
fiorentina,Italy,,,,,,,,126.0,,,,,,126.0,,251.0,,,126.0,,,,181.0,844.0,
ac milan,Italy,,,,,,,,501.0,,,,,,,,,,,,,,,200.0,844.0,
inter,Italy,,,,,,,,501.0,,,,,,,,,,,,,,,950.0,844.0,
sampdoria,Italy,,,,,,,751.0,501.0,,,,,,,,,,,,,,,143.0,844.0,
torino,Italy,,,,,,,501.0,1001.0,,,,,,,,,,,,,,,162.0,844.0,
verona,Italy,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,200.0,844.0,
udinese,Italy,,,,,,,301.0,1001.0,,,,,,,,,,,,,,,295.0,844.0,
parma,Italy,,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,,,
genoa,Italy,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,143.0,844.0,
palermo,Italy,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,162.0,844.0,
atalanta,Italy,,,,,,,1501.0,1001.0,,,,,,,,,,,,,,,,,
cagliari,Italy,,,,,,,2001.0,1001.0,,,,,,,,,,,,,,,,,
empoli,Italy,,,,,,,2001.0,1001.0,,,,,,,,,,,,,,,,,
sassuolo,Italy,,,,,,,2501.0,1001.0,,,,,,,,,,,,,,,200.0,844.0,
cesena,Italy,,,,,,,2501.0,1001.0,,,,,,,,,,,,,,,,,
chievo,Italy,,,,,,,2501.0,1001.0,,,,,,,,,,,,,,,,,
celtic,Scotland,1.04,1.03,,1.03,,1.02,1.03,1.03,1.03,1.03,1.04,1.01,1.03,1.03,,1.05,1.03,,1.03,1.03,1.02,1.03,1.08,1.06,
aberdeen,Scotland,13.0,11.0,,11.0,,13.0,11.0,11.0,11.0,12.0,11.0,13.0,11.0,12.0,,11.0,11.0,,12.0,12.0,13.0,12.0,10.5,10.2,
inverness,Scotland,151.0,,,81.0,,101.0,67.0,101.0,81.0,151.0,126.0,101.0,81.0,81.0,,126.0,101.0,,81.0,151.0,151.0,151.0,124.0,179.0,
kilmarnock,Scotland,,,,,,,,501.0,,,,,,,,,,,,,,,285.0,844.0,
motherwell,Scotland,,,,,,,,1001.0,,,,,,,,,,,,,,,19.0,844.0,
partick,Scotland,,,,,,,,1001.0,,,,,,,,,,,,,,,19.0,844.0,
ross county,Scotland,,,,,,,,1001.0,,,,,,,,,,,,,,,19.0,844.0,
st mirren,Scotland,,,,,,,,1001.0,,,,,,,,,,,,,,,19.0,844.0,
dundee utd,Scotland,1001.0,,,,,,501.0,501.0,501.0,,,,501.0,,,,,,,,,,36.0,844.0,
hamilton,Scotland,7501.0,,,,,,,501.0,,,,,,,,,,,,,,,19.0,844.0,
st johnstone,Scotland,7501.0,,,,,,,501.0,,,,,,,,,,,,,,,209.0,844.0,
dundee,Scotland,10001.0,,,,,,,1001.0,,,,,,,,,,,,,,,19.0,844.0,
psv,Holland,1.02,,,1.01,,1.01,,1.01,1.01,1.01,,,,,,1.01,,,,1.01,,1.01,1.02,1.01,
ajax,Holland,21.0,,,21.0,,21.0,,21.0,21.0,21.0,,,,,,21.0,,,,21.0,,21.0,13.4,12.2,
twente,Holland,,,,,,,67.0,,,,,,,,,,,,,,,,,,
vitesse,Holland,,,,,,,151.0,,,,,,,,,,,,,,,,,,
cambuur,Holland,,,,,,,201.0,,,,,,,,,,,,,,,,,,
den haag,Holland,,,,,,,201.0,,,,,,,,,,,,,,,,,,
heerenveen,Holland,,,,,,,251.0,,,,,,,,,,,,,,,,,,
nac breda,Holland,,,,,,,251.0,,,,,,,,,,,,,,,,,,
az alkmaar,Holland,,,,,,301.0,151.0,,,,,,,,,,,,,,,,,,
utrecht,Holland,,,,,,,301.0,,,,,,,,,,,,,,,,,,
willem ii,Holland,,,,,,,401.0,,,,,,,,,,,,,,,,,,
zwolle,Holland,,,,,,501.0,251.0,,,,,,,,,,,,,,,,,,
groningen,Holland,,,,,,,501.0,,,,,,,,,,,,,,,,,,
sbv excelsior,Holland,,,,,,,751.0,,,,,,,,,,,,,,,,,,
feyenoord,Holland,1001.0,,,,,126.0,51.0,,,801.0,,,,,,,,,,801.0,,801.0,29.0,26.0,
go ahead eagles,Holland,,,,,,,1001.0,,,,,,,,,,,,,,,,,,
fc dordrecht,Holland,,,,,,,2501.0,,,,,,,,,,,,,,,,,,
heracles,Holland,,,,,,,2501.0,,,,,,,,,,,,,,,,,,
benfica,Portugal,1.33,1.33,,1.3,,1.4,1.44,1.4,1.4,1.33,,,1.4,1.4,,1.36,,,1.4,1.6,,1.33,1.43,,
porto,Portugal,3.25,3.25,,3.2,,2.7,2.62,2.8,2.75,3.2,,,2.75,2.75,,3.0,,,2.75,2.4,,3.2,2.86,,
sporting lisbon,Portugal,151.0,151.0,,,,126.0,,126.0,101.0,201.0,,,101.0,126.0,,,,,126.0,31.0,,201.0,95.0,,
maritimo,Portugal,,,,,,,251.0,,,,,,,,,,,,,,,,25.0,,
boavista,Portugal,,,,,,,251.0,,,,,,,,,,,,,,,,34.0,,
rio ave,Portugal,,,,,,,251.0,,,,,,,,,,,,,,,,34.0,,
nacional madeira,Portugal,,,,,,,301.0,,,,,,,,,,,,,,,,34.0,,
arouca,Portugal,,,,,,,401.0,,,,,,,,,,,,,,,,25.0,,
belenenses,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,15.7,,
moreirense,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,15.7,,
pacos ferreira,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,15.7,,
penafiel,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,15.7,,
academica,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,25.0,,
gil vicente,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,25.0,,
vitoria setubal,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,34.0,,
estoril,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,57.0,,
pcos ferr,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,,,
guimaraes,Portugal,1001.0,,,,,,,,,,,,,,,,,,,67.0,,,40.0,,
braga,Portugal,1001.0,,,,,,101.0,301.0,,,,,,,,,,,,126.0,,,67.0,,
galatasaray,Turkey,,,,,,,2.5,2.62,,2.25,,,,,,,,,,2.25,,2.25,,,
besiktas,Turkey,,,,,,,2.38,2.38,,3.0,,,,,,,,,,3.0,,3.0,,,
fenerbahce,Turkey,,,,,,,3.5,3.3,,2.75,,,,,,,,,,2.75,,2.75,,,
eskisehirspor,Turkey,,,,,,,67.0,,,,,,,,,,,,,,,,,,
gaziantepspor,Turkey,,,,,,,67.0,,,,,,,,,,,,,,,,,,
akhisar,Turkey,,,,,,,101.0,,,,,,,,,,,,,,,,,,
bursaspor,Turkey,,,,,,,67.0,101.0,,101.0,,,,,,,,,,101.0,,101.0,,,
genclerbirligi,Turkey,,,,,,,101.0,,,,,,,,,,,,,,,,,,
sivasspor,Turkey,,,,,,,101.0,,,,,,,,,,,,,,,,,,
trabzonspor,Turkey,,,,,,,,,,101.0,,,,,,,,,,101.0,,101.0,,,
karabukspor,Turkey,,,,,,,126.0,,,,,,,,,,,,,,,,,,
rizespor,Turkey,,,,,,,151.0,,,,,,,,,,,,,,,,,,
istanbul bb,Turkey,,,,,,,126.0,101.0,,201.0,,,,,,,,,,201.0,,201.0,,,
kasimpasa,Turkey,,,,,,,,,,501.0,,,,,,,,,,501.0,,501.0,,,
mersin i y,Turkey,,,,,,,67.0,,,501.0,,,,,,,,,,501.0,,501.0,,,
balikesirspor,Turkey,,,,,,,751.0,,,,,,,,,,,,,,,,,,
erciyesspor,Turkey,,,,,,,1001.0,,,,,,,,,,,,,,,,,,
konyaspor,Turkey,,,,,,,1001.0,,,,,,,,,,,,,,,,,,
