name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Bwin,Unibet,32Red Bet,Betfair,Betdaq,Matchbook
villarreal,Spain,301.0,301.0,251.0,201.0,251.0,251.0,301.0,251.0,251.0,251.0,201.0,301.0,301.0,251.0,,301.0,251.0,250.0,251.0,301.0,251.0,251.0,950.0,369.0,
celta vigo,Spain,1001.0,1001.0,751.0,501.0,751.0,501.0,1001.0,1001.0,501.0,1501.0,1001.0,1501.0,501.0,751.0,,1501.0,601.0,1000.0,751.0,1001.0,1501.0,1501.0,950.0,432.0,
malaga,Spain,1501.0,1001.0,1001.0,501.0,1001.0,501.0,1001.0,1001.0,501.0,1501.0,501.0,1501.0,501.0,1001.0,,1001.0,601.0,1000.0,1001.0,1251.0,1501.0,1501.0,950.0,849.0,
espanyol,Spain,2001.0,1501.0,1001.0,501.0,1001.0,501.0,1501.0,1001.0,1001.0,1501.0,1001.0,2001.0,1001.0,1001.0,,2001.0,1001.0,1000.0,1001.0,1501.0,1501.0,1501.0,950.0,849.0,
getafe,Spain,1501.0,2001.0,1251.0,501.0,1251.0,501.0,1501.0,1001.0,1001.0,2001.0,1001.0,2001.0,1001.0,1501.0,,2001.0,1001.0,1000.0,1501.0,2001.0,2001.0,2001.0,950.0,849.0,
levante,Spain,2001.0,1501.0,1251.0,501.0,1251.0,501.0,1501.0,1001.0,1001.0,1501.0,1001.0,2001.0,1001.0,1501.0,,2001.0,1001.0,1000.0,1501.0,1501.0,1501.0,1501.0,950.0,849.0,
rayo vallecano,Spain,2501.0,2001.0,1251.0,501.0,1251.0,501.0,2001.0,1001.0,1001.0,2001.0,1001.0,2501.0,1001.0,1001.0,,2501.0,1001.0,1000.0,1001.0,2001.0,2001.0,2001.0,950.0,849.0,
granada,Spain,2001.0,2001.0,1501.0,501.0,1501.0,501.0,2001.0,1001.0,1001.0,1501.0,3001.0,3001.0,1001.0,1501.0,,3001.0,1001.0,1000.0,1501.0,2001.0,1501.0,1501.0,950.0,849.0,
deportivo la coruna,Spain,2001.0,2001.0,1501.0,501.0,1501.0,501.0,2001.0,1001.0,1001.0,4001.0,2001.0,4001.0,1001.0,1501.0,,2501.0,501.0,1000.0,1501.0,2001.0,4001.0,4001.0,950.0,849.0,
elche,Spain,3001.0,2001.0,2001.0,501.0,2001.0,501.0,2501.0,1001.0,1001.0,2001.0,4001.0,4001.0,1001.0,2001.0,,4001.0,1001.0,1000.0,2001.0,3001.0,2001.0,2001.0,950.0,849.0,
