name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Elche,Spain,,,,,,,,5001.0,,3000.0,,,,,,,,3000.0,,565.0,950.0,766.0,
Man City,England,3.5,3.5,3.75,3.6,3.75,,3.5,3.75,3.6,3.75,3.75,3.6,3.75,3.5,3.75,3.75,3.75,3.75,,3.7,3.66,3.72,
Arsenal,England,4.0,4.0,4.0,4.0,4.0,,4.0,4.33,4.0,4.0,3.75,4.33,4.0,4.0,3.5,4.0,4.0,4.0,,4.1,4.14,4.2,
Chelsea,England,4.75,4.33,4.0,4.5,4.0,,4.5,4.33,4.33,4.25,3.6,4.33,4.0,4.33,4.0,4.0,4.5,4.25,,4.8,4.8,4.88,
Man Utd,England,6.0,6.5,5.0,6.5,5.0,,6.0,5.5,6.0,6.5,5.0,5.5,5.5,6.0,6.0,5.5,6.5,6.5,,6.4,6.51,6.63,
Liverpool,England,8.0,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,9.0,8.5,8.0,8.0,8.0,8.5,7.0,8.0,,7.8,7.84,7.98,
Tottenham,England,34.0,34.0,26.0,34.0,26.0,,34.0,26.0,34.0,30.0,34.0,34.0,29.0,29.0,29.0,34.0,34.0,30.0,,36.0,40.0,40.0,
Everton,England,151.0,126.0,151.0,151.0,151.0,,151.0,126.0,151.0,150.0,201.0,126.0,151.0,151.0,126.0,151.0,151.0,150.0,,140.0,162.0,175.0,
Southampton,England,201.0,101.0,201.0,201.0,201.0,,251.0,201.0,201.0,200.0,201.0,251.0,251.0,201.0,151.0,251.0,201.0,200.0,,158.0,200.0,204.0,
Newcastle,England,801.0,1001.0,1001.0,,1001.0,,1001.0,751.0,,1500.0,2501.0,1251.0,1001.0,1001.0,,,1501.0,1500.0,,660.0,950.0,970.0,
