name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Nurnberg,Germany,3001.0,751.0,751.0,501.0,751.0,501.0,1001.0,501.0,751.0,1000.0,1001.0,,1001.0,751.0,1501.0,501.0,1000.0,1001.0,751.0,1251.0,540.0,760.0,713.0,
Braunschweig,Germany,5001.0,3001.0,5001.0,1501.0,5001.0,1501.0,5001.0,501.0,2001.0,3000.0,2501.0,,5001.0,2501.0,5001.0,2001.0,3000.0,3001.0,2001.0,3001.0,540.0,760.0,713.0,
Barcelona,Spain,1.62,1.57,1.57,1.62,1.57,,1.53,1.57,1.62,,1.5,,1.57,1.57,,1.57,,1.5,1.62,1.6,1.65,1.69,1.67,
Real Madrid,Spain,2.38,2.38,2.38,2.38,2.38,,2.5,2.4,2.25,,2.62,,2.38,2.4,,2.3,,2.5,2.5,2.5,,2.48,2.36,
Atletico Madrid,Spain,29.0,34.0,41.0,41.0,41.0,,67.0,51.0,41.0,,41.0,,41.0,41.0,,26.0,,67.0,51.0,51.0,23.0,30.0,24.0,
Real Sociedad,Spain,501.0,501.0,401.0,301.0,401.0,,401.0,201.0,201.0,,501.0,,401.0,251.0,,401.0,,501.0,501.0,501.0,225.0,323.0,295.0,
Valencia,Spain,501.0,401.0,151.0,201.0,151.0,,251.0,101.0,101.0,,501.0,,401.0,201.0,,301.0,,501.0,301.0,501.0,170.0,485.0,214.0,
Athl Bilbao,Spain,301.0,501.0,301.0,401.0,301.0,,751.0,401.0,501.0,,501.0,,401.0,501.0,,501.0,,501.0,751.0,501.0,148.0,247.0,181.0,
Sevilla,Spain,501.0,751.0,501.0,301.0,501.0,,751.0,201.0,301.0,,1001.0,,501.0,351.0,,751.0,,501.0,1251.0,,205.0,285.0,261.0,
Espanyol,Spain,751.0,,501.0,,501.0,,1501.0,1001.0,1001.0,,1501.0,,751.0,,,1001.0,,1501.0,,1501.0,154.0,257.0,195.0,
Betis,Spain,501.0,751.0,501.0,501.0,501.0,,751.0,501.0,501.0,,751.0,,501.0,501.0,,1001.0,,801.0,1501.0,751.0,225.0,323.0,295.0,
Malaga,Spain,501.0,751.0,501.0,301.0,501.0,,1001.0,326.0,501.0,,2001.0,,751.0,501.0,,501.0,,801.0,,2001.0,540.0,760.0,713.0,
Getafe,Spain,1001.0,,1001.0,,1001.0,,2001.0,1001.0,1501.0,,2001.0,,1001.0,,,1251.0,,1501.0,,2001.0,615.0,950.0,888.0,
Villarreal,Spain,501.0,,501.0,,501.0,,1501.0,,3001.0,,501.0,,501.0,,,1001.0,,601.0,,3001.0,112.0,143.0,135.0,
Celta Vigo,Spain,2501.0,,2001.0,,2001.0,,2501.0,1501.0,2001.0,,2501.0,,1501.0,,,2001.0,,3001.0,,2001.0,615.0,950.0,888.0,
Levante,Spain,2001.0,,2501.0,,2501.0,,2501.0,2001.0,2501.0,,3001.0,,2501.0,,,2001.0,,3501.0,,3001.0,615.0,950.0,888.0,
Valladolid,Spain,,,2501.0,,2501.0,,3001.0,2501.0,3001.0,,3001.0,,4001.0,,,2501.0,,3501.0,,3001.0,615.0,950.0,888.0,
