name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
partick,Scotland,10001.0,,,,,,,1001.0,,,,,,,,,,,,,,,42.0,844.0,
ross county,Scotland,50001.0,,,,,,,1001.0,,,,,,,,,,,,,,,42.0,844.0,
psv,Holland,1.03,1.03,1.03,1.03,1.03,,1.08,1.04,1.03,1.03,,,,,,1.05,1.03,,,1.03,1.03,1.03,1.02,,
ajax,Holland,11.0,11.0,10.0,11.0,10.0,,7.0,10.0,11.0,10.0,,,,,,9.0,10.0,,,10.0,10.0,10.0,10.5,8.76,
vitesse,Holland,,,,,,,151.0,,,,,,,,,,,,,,,,71.0,80.0,
cambuur,Holland,,,,,,,201.0,,,,,,,,,,,,,,,,200.0,373.0,
den haag,Holland,,,,,,,201.0,,,,,,,,,,,,,,,,,373.0,
feyenoord,Holland,251.0,151.0,101.0,,101.0,126.0,51.0,81.0,101.0,151.0,,,,,,67.0,101.0,,,151.0,,151.0,26.0,23.0,
nac breda,Holland,,,,,,,251.0,,,,,,,,,,,,,,,,,373.0,
utrecht,Holland,,,,,,,301.0,,,,,,,,,,,,,,,,200.0,373.0,
willem ii,Holland,,,,,,,401.0,,,,,,,,,,,,,,,,,373.0,
groningen,Holland,,,,,,,501.0,,,,,,,,,,,,,,,,133.0,373.0,
sbv excelsior,Holland,,,,,,,751.0,,,,,,,,,,,,,,,,,373.0,
zwolle,Holland,1001.0,,,,,501.0,251.0,,251.0,501.0,,,,,,,,,,501.0,,501.0,71.0,373.0,
go ahead eagles,Holland,,,,,,,1001.0,,,,,,,,,,,,,,,,,373.0,
twente,Holland,2001.0,501.0,251.0,,251.0,,67.0,,251.0,501.0,,,,,,,201.0,,,501.0,,501.0,23.0,373.0,
heerenveen,Holland,2001.0,,,,,,251.0,,,751.0,,,,,,,,,,751.0,,751.0,,373.0,
fc dordrecht,Holland,,,,,,,2501.0,,,,,,,,,,,,,,,,,373.0,
heracles,Holland,,,,,,,2501.0,,,,,,,,,,,,,,,,,373.0,
az alkmaar,Holland,751.0,301.0,251.0,,251.0,301.0,151.0,,251.0,4201.0,,,,,,,251.0,,,4201.0,,4201.0,105.0,97.0,
benfica,Portugal,1.44,1.44,,1.44,,1.4,1.44,1.36,1.44,1.45,,,1.4,,,1.4,,,,1.45,1.4,1.45,1.46,,
porto,Portugal,2.63,2.88,,2.75,,2.8,2.62,3.0,2.62,2.75,,,2.75,,,2.88,,,,2.75,2.75,2.75,2.82,,
sporting lisbon,Portugal,41.0,34.0,,41.0,,34.0,,34.0,41.0,67.0,,,34.0,,,41.0,,,,67.0,34.0,67.0,67.0,,
braga,Portugal,101.0,,,,,,101.0,126.0,101.0,151.0,,,151.0,,,,,,,151.0,,151.0,67.0,,
arouca,Portugal,,,,,,,401.0,,,,,,,,,,,,,,,,25.0,,
penafiel,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,11.0,,
academica,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,25.0,,
gil vicente,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,25.0,,
guimaraes,Portugal,501.0,,,,,,,,,,,,,,,,,,,,,,57.0,,
vitoria setubal,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,57.0,,
pcos ferr,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,,,
belenenses,Portugal,1501.0,,,,,,501.0,,,,,,,,,,,,,,,,11.0,,
pacos ferreira,Portugal,1501.0,,,,,,501.0,,,,,,,,,,,,,,,,48.0,,
rio ave,Portugal,1501.0,,,,,,251.0,,,,,,,,,,,,,,,,57.0,,
moreirense,Portugal,2501.0,,,,,,501.0,,,,,,,,,,,,,,,,11.0,,
nacional madeira,Portugal,2501.0,,,,,,301.0,,,,,,,,,,,,,,,,57.0,,
maritimo,Portugal,5001.0,,,,,,251.0,,,,,,,,,,,,,,,,25.0,,
boavista,Portugal,7501.0,,,,,,251.0,,,,,,,,,,,,,,,,57.0,,
estoril,Portugal,7501.0,,,,,,501.0,,,,,,,,,,,,,,,,95.0,,
fenerbahce,Turkey,2.38,,,,,,2.5,2.5,,2.35,,,,,,,,,,2.35,2.45,2.35,1.95,,
galatasaray,Turkey,2.75,,,,,,2.62,2.5,,2.6,,,,,,,,,,2.6,2.85,2.6,2.9,,
besiktas,Turkey,3.25,,,,,,3.0,3.25,,3.0,,,,,,,,,,3.0,3.0,3.0,2.18,,
bursaspor,Turkey,101.0,,,,,,67.0,126.0,,76.0,,,,,,,,,,76.0,,76.0,5.75,,
trabzonspor,Turkey,151.0,,,,,,,,,81.0,,,,,,,,,,81.0,101.0,81.0,5.75,,
istanbul bb,Turkey,201.0,,,,,,126.0,126.0,,101.0,,,,,,,,,,101.0,,101.0,5.75,,
gaziantepspor,Turkey,501.0,,,,,,67.0,,,101.0,,,,,,,,,,101.0,,101.0,5.75,,
mersin i y,Turkey,1001.0,,,,,,67.0,,,301.0,,,,,,,,,,301.0,,301.0,5.75,,
eskisehirspor,Turkey,2001.0,,,,,,67.0,,,501.0,,,,,,,,,,501.0,,501.0,5.75,,
kasimpasa,Turkey,2001.0,,,,,,,,,201.0,,,,,,,,,,201.0,,201.0,5.75,,
sivasspor,Turkey,2001.0,,,,,,101.0,,,,,,,,,,,,,,,,5.75,,
genclerbirligi,Turkey,2501.0,,,,,,101.0,,,301.0,,,,,,,,,,301.0,,301.0,5.75,,
konyaspor,Turkey,2501.0,,,,,,1001.0,,,,,,,,,,,,,,,,5.75,,
akhisar,Turkey,5001.0,,,,,,101.0,,,,,,,,,,,,,,,,5.75,,
karabukspor,Turkey,5001.0,,,,,,126.0,,,501.0,,,,,,,,,,501.0,,501.0,5.75,,
rizespor,Turkey,5001.0,,,,,,151.0,,,,,,,,,,,,,,,,5.75,,
erciyesspor,Turkey,7501.0,,,,,,1001.0,,,,,,,,,,,,,,,,5.75,,
balikesirspor,Turkey,10001.0,,,,,,751.0,,,,,,,,,,,,,,,,5.75,,
